Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Seattle,city,All Homes,"$6,04,300",-0.60%,-1.10%,8.90%,11.20%,3.00%,9.30%,2.90%,8.20%,8.10%,3.10%,0.10%,1.50%,-2.80%,5.80%,1.40%,-2.10%,-0.40%,$426,-0.50%,-0.50%,8.40%,3.80%,-0.30%,0.10%,0.00%,"$5,90,000",-1.50%,0.10%,12.40%,85.60%,-4.30%,-12.40%,-12.50%,96.90%,-0.10%,-1.50%,2.80%,3.60%,-0.50%,0.90%,1.20%,5.70%,-0.50%,-3.90%,-18.40%,$422,1.10%,0.80%,4.50%,"$2,400",4.30%,0.00%,4.60%,$2.04,0.10%,-1.60%,1.00%,1.113,0.10%,-0.10%,-1.10%,"$2,538",-0.40%,-0.60%,5.00%,$1.83,-0.40%,-0.40%,5.90%
Admiral,neighborhood,All Homes,"$6,57,400",-1.50%,-4.10%,4.40%,10.20%,2.20%,10.40%,4.00%,9.70%,10.00%,---,---,---,---,0.00%,-2.60%,-5.20%,-19.10%,$410,-1.00%,-1.70%,5.90%,---,---,---,---,"$5,82,500",-9.70%,1.30%,---,81.80%,-7.10%,-17.00%,-17.20%,---,---,---,---,---,---,---,---,5.60%,-1.20%,-9.10%,-20.50%,$378,0.00%,0.30%,8.40%,---,---,---,---,---,---,---,---,2.513,---,---,---,"$2,720",-0.70%,-1.00%,6.30%,$1.70,-0.70%,-1.20%,3.20%
Alki,neighborhood,All Homes,"$6,95,300",-0.30%,-0.50%,7.40%,10.20%,1.70%,16.30%,5.60%,14.60%,14.50%,---,---,---,---,20.00%,13.20%,10.40%,15.00%,$449,0.00%,-0.20%,6.70%,---,---,---,---,"$6,95,000",-0.30%,6.90%,6.90%,76.80%,-6.90%,-20.60%,-20.60%,---,---,---,---,---,---,---,---,6.60%,0.50%,5.10%,-9.70%,$507,2.90%,16.90%,9.10%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,795",-0.80%,-1.60%,4.00%,$1.90,-0.60%,-1.10%,3.30%
Arbor Heights,neighborhood,All Homes,"$4,86,100",-0.80%,-2.10%,6.50%,10.50%,1.50%,10.00%,2.60%,9.60%,9.60%,---,---,---,---,---,---,---,---,$343,-0.60%,-1.70%,10.30%,---,---,---,---,---,---,---,---,85.60%,-4.60%,-13.70%,-13.70%,---,---,---,---,---,---,---,---,6.20%,2.70%,0.70%,10.30%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,328",0.30%,1.00%,10.40%,$1.61,-0.20%,0.50%,11.20%
Atlantic,neighborhood,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5.30%,-15.40%,0.00%,-38.90%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Ballard,neighborhood,All Homes,"$5,58,500",-0.50%,0.10%,14.20%,10.90%,3.50%,3.30%,1.10%,2.50%,2.60%,---,---,---,---,0.00%,-6.60%,-9.10%,---,$485,-0.20%,0.20%,9.50%,---,---,---,---,---,---,---,---,94.40%,-2.00%,-4.50%,-4.80%,---,---,---,---,---,---,---,---,9.50%,-3.70%,-12.00%,-25.90%,$452,2.00%,-2.60%,-10.20%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,459",0.00%,0.00%,8.00%,$2.33,-0.20%,0.50%,8.30%
Beacon Hill,neighborhood,All Homes,"$4,86,700",-0.10%,-0.20%,11.50%,12.10%,2.90%,5.80%,2.40%,5.30%,4.90%,---,---,---,---,---,---,---,---,$296,-0.30%,-0.30%,11.70%,---,---,---,---,"$4,64,500",6.80%,5.90%,-2.20%,90.40%,-3.70%,-8.90%,-7.80%,---,---,---,---,---,---,---,---,4.00%,-1.70%,-9.10%,-14.20%,$297,0.00%,-2.70%,-0.50%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,375",-0.30%,0.70%,9.60%,$1.44,-0.10%,1.00%,9.10%
Belltown,neighborhood,All Homes,"$4,77,600",2.00%,8.30%,15.70%,13.10%,2.30%,5.80%,2.90%,3.50%,-2.90%,---,---,---,---,9.10%,5.00%,-1.00%,-0.90%,$629,1.10%,4.70%,12.50%,---,---,---,---,---,---,---,---,90.20%,-4.50%,-4.50%,0.20%,---,---,---,---,---,---,---,---,7.80%,-1.80%,-6.70%,-7.80%,$641,3.40%,6.70%,5.10%,"$2,050",-8.90%,7.90%,5.10%,$2.83,1.70%,0.80%,-0.70%,1.238,---,---,---,"$2,180",0.00%,0.60%,6.00%,$2.83,0.20%,-0.20%,4.20%
Bitter Lake,neighborhood,All Homes,"$4,50,900",-1.10%,-2.20%,9.70%,12.20%,2.20%,4.00%,1.10%,3.70%,3.30%,---,---,---,---,---,---,---,---,$315,-1.30%,-2.80%,11.70%,---,---,---,---,---,---,---,---,93.60%,-2.50%,-6.00%,-4.70%,---,---,---,---,---,---,---,---,7.60%,0.00%,0.60%,-10.60%,---,---,---,---,---,---,---,---,---,---,---,---,5.009,2.60%,---,---,"$2,196",0.40%,0.60%,9.60%,$1.77,0.00%,0.20%,8.00%
Blue Ridge,neighborhood,All Homes,"$7,15,400",-1.10%,-1.20%,9.40%,11.30%,2.80%,12.80%,2.70%,10.70%,12.40%,---,---,---,---,---,---,---,---,$399,-0.30%,-0.70%,7.30%,---,---,---,---,---,---,---,---,82.50%,-3.40%,-13.40%,-17.10%,---,---,---,---,---,---,---,---,4.00%,-2.30%,-4.40%,-33.80%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,797",-0.30%,-0.20%,6.20%,$1.63,-0.40%,-0.40%,4.10%
